Sw H+ Iono H	South to North	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-1.94E-07	-0.469078605	9.90E-08	-0.406037009
1.47E-07	-0.469078956	-7.08E-08	-0.406037283
1.88E-07	-0.469079909	-2.95E-08	-0.406037371
-1.45E-07	-0.469080243	5.85E-08	-0.406037598
-6.37E-08	-0.469080497	3.97E-07	-0.406038483
-9.69E-08	-0.469080949	-3.35E-07	-0.406039346
6.87E-08	-0.469081151	-3.36E-07	-0.406040933
-1.33E-07	-0.469081765	2.66E-07	-0.406041752
9.73E-08	-0.469082028	3.05E-07	-0.406043113
1.31E-07	-0.469082673	-2.43E-07	-0.406043854
-9.33E-08	-0.469082942	-3.30E-07	-0.40604523
-3.25E-07	-0.469084083	2.55E-07	-0.406046062
2.66E-07	-0.469084562	2.57E-07	-0.406047274
2.81E-07	-0.469086129	-2.03E-07	-0.406047905
-2.30E-07	-0.469086549	-2.35E-07	-0.40604895
-2.32E-07	-0.469087873	1.87E-07	-0.406049524
1.79E-07	-0.469088286	8.42E-08	-0.40604974
2.05E-07	-0.469089379	1.20E-07	-0.406050232
-1.51E-07	-0.469089777	-8.64E-08	-0.406050563
-6.58E-08	-0.469090042	1.64E-07	-0.406051251
-9.55E-08	-0.469090497	-1.22E-07	-0.406051685
6.73E-08	-0.469090699	-1.53E-07	-0.406052344
3.13E-07	-0.469091728	1.11E-07	-0.406052764
-2.58E-07	-0.469092183	4.75E-08	-0.406052898
-2.69E-07	-0.469093693	1.96E-08	-0.406052957
2.09E-07	-0.469094159	-3.90E-08	-0.406053107
2.53E-07	-0.469095475	-3.42E-07	-0.406053898
-1.98E-07	-0.469095905	2.88E-07	-0.406054645
-2.16E-07	-0.469097089	2.89E-07	-0.406056009
1.61E-07	-0.4690975	-2.29E-07	-0.406056715
1.80E-07	-0.469098473	-2.64E-07	-0.406057888
-1.37E-07	-0.469098799	2.09E-07	-0.40605853
-4.21E-07	-0.469100329	2.90E-07	-0.406059732
3.45E-07	-0.469100954	-2.25E-07	-0.406060465
3.65E-07	-0.469102985	-1.04E-07	-0.40606072
-2.98E-07	-0.469103534	-2.90E-07	-0.406061701
-2.98E-07	-0.469105244	2.28E-07	-0.406062418
2.29E-07	-0.469105778	2.46E-07	-0.406063544
2.35E-07	-0.469107106	-1.84E-07	-0.406064194
-1.84E-07	-0.469107506	-2.03E-07	-0.406065115
-2.19E-07	-0.469108652	1.56E-07	-0.406065638
1.72E-07	-0.469109019	1.97E-07	-0.406066481
7.70E-08	-0.469109315	-1.52E-07	-0.406066981
