Sw H + Iono O	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-1.489742186	-2.043493264	1.405877697	-2.003009843
-1.515431192	-2.060302441	1.412147082	-2.007609123
-1.541237493	-2.076904097	1.436877281	-2.025692456
-1.567183825	-2.093333697	1.461641673	-2.043701817
-1.593243638	-2.109568902	1.486480076	-2.061669538
-1.619416645	-2.125588645	1.511343286	-2.079582232
-1.645750044	-2.14143132	1.536229356	-2.097468929
-1.672182461	-2.157082893	1.561164614	-2.115343446
-1.698712239	-2.172535622	1.586145199	-2.13313908
-1.72538526	-2.187801765	1.611228241	-2.150806878
-1.752170736	-2.202853243	1.636442037	-2.168339201
-1.779062574	-2.217720431	1.661733277	-2.185743078
-1.806067902	-2.232442505	1.687100855	-2.203035778
-1.833157274	-2.246989226	1.712562677	-2.220221259
-1.860347443	-2.261332887	1.738093206	-2.237271284
-1.887681962	-2.275481623	1.763709553	-2.254202598
-1.915114491	-2.289440707	1.789428624	-2.271034854
-1.942616215	-2.30320431	1.81521447	-2.287734545
-1.961617776	-2.312571956	1.841090418	-2.304304768
-1.974356069	-2.318784875	1.86706359	-2.320740018
-1.982879617	-2.322911227	1.893113785	-2.337048908
-1.98857617	-2.325654899	1.919238743	-2.353264786
-1.992380254	-2.327480708	1.945429301	-2.369387653
-1.994919168	-2.328696417	1.963497499	-2.380421135
-1.996613055	-2.329506216	1.97560932	-2.38776724
-1.997742883	-2.33004578	1.983714926	-2.392658319
-1.998496355	-2.330405354	1.989133727	-2.395916882
-1.998998783	-2.33064501	1.992752095	-2.398087822
-1.999333785	-2.330804754	1.995166954	-2.39953446
-1.999557143	-2.330911237	1.996778029	-2.400498589
-1.999706057	-2.330982221	1.997852601	-2.401141208
-1.999805338	-2.331029542	1.998569214	-2.401569562
-1.999871528	-2.331061087	1.99904706	-2.401855104
-1.999915655	-2.331082118	1.99936567	-2.402045454
-1.999945073	-2.331096137	1.999578097	-2.402172348
-1.999964685	-2.331105484	1.999719724	-2.402256942
-1.99997776	-2.331111715	1.999814146	-2.402313337
-1.999986477	-2.331115869	1.999877096	-2.402350933
-1.999992288	-2.331118638	1.999919063	-2.402375997
-1.999996162	-2.331120484	1.999947042	-2.402392706
-1.999998745	-2.331121715	1.999965694	-2.402403846
