 Sw H + Iono O	South to North 	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
1.35E-07	-0.465219814	6.97E-08	-0.423876736
1.59E-07	-0.465220643	9.95E-08	-0.423877164
-1.16E-07	-0.465220962	-7.03E-08	-0.423877423
-5.05E-08	-0.465221164	-3.05E-07	-0.423878391
-7.45E-08	-0.465221513	2.51E-07	-0.423879018
5.23E-08	-0.465221674	2.63E-07	-0.423880309
8.12E-08	-0.465222046	-2.04E-07	-0.423880912
-5.66E-08	-0.465222224	-2.47E-07	-0.42388205
-2.34E-08	-0.465222326	1.94E-07	-0.423882611
-3.66E-07	-0.465223356	3.16E-07	-0.423883903
2.93E-07	-0.465223961	-2.46E-07	-0.423884625
1.42E-07	-0.465224423	-2.46E-07	-0.42388586
6.23E-08	-0.465224666	1.95E-07	-0.423886404
9.44E-08	-0.465225104	2.24E-07	-0.423887458
-6.70E-08	-0.465225304	-1.78E-07	-0.423887949
1.30E-07	-0.465225899	-2.40E-07	-0.423889005
-9.49E-08	-0.46522616	1.86E-07	-0.423889559
-1.27E-07	-0.465226783	3.40E-07	-0.423890895
9.07E-08	-0.465227049	-2.65E-07	-0.423891669
3.84E-08	-0.465227208	-2.66E-07	-0.423893001
6.11E-08	-0.465227486	2.12E-07	-0.423893585
-4.23E-08	-0.46522762	2.40E-07	-0.423894722
-6.95E-08	-0.465227932	-1.92E-07	-0.423895247
4.79E-08	-0.465228086	-8.71E-08	-0.423895498
1.97E-08	-0.465228172	-1.22E-07	-0.423896028
3.51E-08	-0.465228324	8.84E-08	-0.423896339
-2.38E-08	-0.465228404	-1.67E-07	-0.423897068
-3.61E-07	-0.465229421	1.25E-07	-0.423897471
3.00E-07	-0.465229948	3.38E-07	-0.423898656
3.69E-07	-0.465231832	-2.66E-07	-0.423899417
-3.13E-07	-0.465232331	-1.26E-07	-0.423899754
-1.54E-07	-0.465232818	-5.45E-08	-0.423899924
-3.72E-07	-0.46523426	-8.55E-08	-0.423900279
3.03E-07	-0.46523484	6.02E-08	-0.423900503
3.24E-07	-0.465236615	-1.18E-07	-0.423900995
-2.64E-07	-0.465237124	8.51E-08	-0.423901293
-2.65E-07	-0.465238623	1.18E-07	-0.423901807
2.02E-07	-0.465239112	-8.40E-08	-0.423902114
2.09E-07	-0.46524028	-3.54E-08	-0.42390223
-1.63E-07	-0.465240649	-5.75E-08	-0.423902466
-3.91E-07	-0.465242171	3.97E-08	-0.423902619
3.18E-07	-0.465242781	1.63E-08	-0.423902675
3.41E-07	-0.465244648	2.89E-08	-0.42390279
-2.77E-07	-0.465245184	-1.97E-08	-0.423902868
-2.98E-07	-0.465246812	-3.53E-08	-0.423903008
2.29E-07	-0.465247352	2.39E-08	-0.423903103
2.33E-07	-0.465248664	3.79E-07	-0.423904152
-1.83E-07	-0.465249068	-3.15E-07	-0.423904913
-2.16E-07	-0.465250193	-3.23E-07	-0.423906513
1.70E-07	-0.465250562	2.67E-07	-0.42390717
7.64E-08	-0.465250849	1.26E-07	-0.423907507
1.10E-07	-0.465251371	1.63E-07	-0.423908235
-7.91E-08	-0.4652516	-1.20E-07	-0.423908639
1.51E-07	-0.465252305	2.16E-07	-0.423909618
-1.12E-07	-0.465252599	-1.66E-07	-0.423910124
-1.42E-07	-0.465253314	-1.91E-07	-0.423911022
1.03E-07	-0.465253607	1.41E-07	-0.423911496
2.97E-07	-0.465254697	6.13E-08	-0.423911686
-2.43E-07	-0.465255155	3.36E-07	-0.423912714
-2.58E-07	-0.465256573	-2.67E-07	-0.423913457
1.99E-07	-0.465257036	-1.28E-07	-0.423913791
2.44E-07	-0.465258286	-5.58E-08	-0.423913964
-1.91E-07	-0.465258717	-8.59E-08	-0.423914323
-3.24E-07	-0.465260148	6.08E-08	-0.423914546
2.52E-07	-0.46526072	-1.18E-07	-0.423915045
2.52E-07	-0.465262152	8.61E-08	-0.423915342
-2.01E-07	-0.465262576	3.62E-08	-0.423915462
-3.94E-07	-0.46526422	-7.16E-08	-0.423915754
3.19E-07	-0.465264842	-3.80E-07	-0.423916562
3.46E-07	-0.465266724	3.22E-07	-0.42391729
-2.80E-07	-0.465267273	3.23E-07	-0.423918909
-3.12E-07	-0.465268947	-2.57E-07	-0.423919618
2.41E-07	-0.465269513	-2.92E-07	-0.423921
2.44E-07	-0.465270889	2.33E-07	-0.423921639
-1.92E-07	-0.465271311	3.06E-07	-0.423922998
-2.25E-07	-0.465272489	-2.37E-07	-0.423923704
1.78E-07	-0.465272874	-2.61E-07	-0.423924956
1.90E-07	-0.465273915	2.09E-07	-0.423925526
-1.42E-07	-0.46527428	3.88E-07	-0.423927043
-1.76E-07	-0.465275175	-3.14E-07	-0.423927866
1.28E-07	-0.465275536	-3.41E-07	-0.423929513
5.48E-08	-0.465275759	2.76E-07	-0.42393024
2.26E-08	-0.465275857	2.79E-07	-0.423931633
-4.51E-08	-0.465276051	-2.12E-07	-0.423932293
-3.81E-07	-0.465276931	-2.88E-07	-0.423933558
3.21E-07	-0.465277459	2.32E-07	-0.42393418
3.22E-07	-0.465279285	2.57E-07	-0.423935409
-2.55E-07	-0.465279831	-2.07E-07	-0.423935963
-2.94E-07	-0.465281381	-2.11E-07	-0.423937011
2.33E-07	-0.465281876	1.60E-07	-0.423937514
2.45E-07	-0.465283232	1.91E-07	-0.423938399
-1.84E-07	-0.465283701	-1.40E-07	-0.423938878
-8.22E-08	-0.465284014	-1.68E-07	-0.423939652
-1.12E-07	-0.465284559	1.26E-07	-0.423940059
8.01E-08	-0.465284797	1.69E-07	-0.423940801
3.38E-08	-0.465284938	-1.28E-07	-0.423941202
5.44E-08	-0.465285184	-1.52E-07	-0.423941908
-3.76E-08	-0.465285304	1.11E-07	-0.423942289
-6.24E-08	-0.465285583	2.66E-07	-0.423943251
4.29E-08	-0.465285721	-2.16E-07	-0.423943809
1.76E-08	-0.465285799	-2.32E-07	-0.423944935
3.15E-08	-0.465285935	1.79E-07	-0.423945472
-2.14E-08	-0.465286007	2.21E-07	-0.423946479
-8.69E-09	-0.465286046	-1.72E-07	-0.423946984
-1.63E-08	-0.465286115	-1.90E-07	-0.423947895
1.10E-08	-0.465286152	1.41E-07	-0.423948362
-2.19E-08	-0.465286245	6.21E-08	-0.423948551
1.48E-08	-0.465286295	3.04E-07	-0.423949495
5.96E-09	-0.465286322	-2.41E-07	-0.423950168
1.15E-08	-0.46528637	-2.54E-07	-0.42395141
-7.70E-09	-0.465286397	1.91E-07	-0.423952024
-3.09E-09	-0.465286411	2.08E-07	-0.423953026
-6.05E-09	-0.465286436	-1.60E-07	-0.423953512
4.05E-09	-0.46528645	-2.00E-07	-0.423954417
3.29E-07	-0.465287322	1.55E-07	-0.423954877
-2.74E-07	-0.465287795	6.83E-08	-0.423955085
-2.79E-07	-0.465289365	1.03E-07	-0.423955517
2.19E-07	-0.465289848	-7.29E-08	-0.423955782
2.58E-07	-0.465291195	1.41E-07	-0.423956382
-2.04E-07	-0.465291636	-1.03E-07	-0.423956733
-2.17E-07	-0.465292828	-1.37E-07	-0.423957338
1.63E-07	-0.465293248	9.79E-08	-0.423957689
7.22E-08	-0.465293525	4.16E-08	-0.423957824
3.03E-08	-0.465293653	6.57E-08	-0.423958096
5.20E-08	-0.465293882	-4.56E-08	-0.42395827
-3.59E-08	-0.465293997	-1.88E-08	-0.423958334
7.12E-08	-0.465294308	-7.62E-09	-0.423958361
-5.00E-08	-0.465294462	-1.46E-08	-0.423958418
-7.78E-08	-0.465294819	9.80E-09	-0.423958457
5.42E-08	-0.465294989	-1.96E-08	-0.423958533
2.24E-08	-0.465295086	-4.00E-07	-0.423959528
